case_id,k,out_real,out_imag,energy
3,39,1296,-343,1797265
3,40,-163,75,32194
3,41,-574,-1129,1604117
3,42,-2131,1248,6098665
3,43,643,118,427373
3,44,432,102,197028
3,45,-132,813,678393
3,46,-450,979,1160941
3,47,-367,-1164,1489585
3,48,1244,-1556,3968672
3,49,-972,478,1173268
3,50,-407,603,529258
3,51,-957,-475,1141474
3,52,134,249,79957
3,53,1076,181,1190537
3,54,457,378,351733
3,55,-2344,-1470,7655236
3,56,-623,-1368,2259553
3,57,141,-398,178285
3,58,1027,1414,3054125
3,59,-1181,-1033,2461850
3,60,-1585,-2438,8456069
3,61,395,-2174,4882301
3,62,-942,320,989764
3,63,3027,3546,21736845
4,0,812,7280,53657744
4,1,1145,-2771,8989466
4,2,9555,-1536,93657321
4,3,6411,1380,43005321
4,4,-3784,2200,19158656
4,5,-256,-1087,1247105
4,6,-5382,-73,28971253
4,7,-1756,-4986,27943732
4,8,400,-1115,1403225
4,9,4455,-888,20635569
4,10,-2551,2046,10693717
4,11,-2328,-1209,6881265
4,12,-8574,1141,74815357
4,13,-165,4348,18932329
4,14,-3851,416,15003257
4,15,-1663,898,3571973
4,16,-3602,-111,12986725
4,17,-521,438,463285
4,18,-6600,-2829,51563241
4,19,-5786,1634,36147752
4,20,8105,-897,66495634
4,21,-5974,8095,101217701
4,22,-3781,5671,46456202
4,23,7849,2797,69430010
4,24,10987,-1709,123634850
4,25,-5268,-4401,47120625
4,26,-713,4375,19648994
4,27,845,204,755641
4,28,385,-536,435521
4,29,-380,-90,152500
4,30,70,379,148541
4,31,-585,187,377194
4,32,-211,514,308717
4,33,-285,-1071,1228266
4,34,-184,-398,192260
4,35,-735,505,795250
4,36,-970,-749,1501901
4,37,-799,-1512,2924545
4,38,-4,218,47540
4,39,498,-79,254245
4,40,112,341,128825
4,41,333,1371,1990530
4,42,-1439,-341,2187002
4,43,-1177,-145,1406354
4,44,192,1466,2186020
4,45,461,1819,3521282
4,46,1027,-725,1580354
4,47,-36,-50,3796
4,48,629,485,630866
4,49,465,-198,255429
4,50,-53,-89,10730
4,51,-183,332,143713
4,52,944,682,1356260
4,53,650,599,781301
4,54,-641,-744,964417
4,55,-1435,-994,3047261
4,56,2131,-255,4606186
4,57,-435,3064,9577321
4,58,-2816,2501,14184857
4,59,-368,-548,435728
4,60,1462,-807,2788693
4,61,487,-2245,5277194
4,62,1684,-796,3469472
4,63,-334,250,174056
5,0,982,3285,11755549
5,1,-5984,7327,89493185
5,2,3887,5768,48378593
5,3,1012,1784,4206800
5,4,-5428,7116,80100640
5,5,-2544,2269,11620297
5,6,1419,2641,8988442
5,7,42,-963,929133
5,8,-787,-409,786650
5,9,-610,-3108,10031764
5,10,-1720,4986,27818596
5,11,701,-5210,27635501
5,12,5601,2535,37797426
5,13,-10766,-342,116023720
5,14,-655,5391,29491906
5,15,1237,3840,16275769
5,16,1149,7880,63414601
5,17,-1882,3708,17291188
5,18,-7884,-6112,99514000
5,19,1681,-265,2895986
5,20,7111,-4494,70762357
5,21,-6688,-2587,51421913
5,22,2030,6003,40156909
5,23,-1968,4047,20251233
5,24,-682,-2921,8997365
5,25,-5911,-4553,55669730
5,26,-1517,98,2310893
5,27,5482,-4377,49210453
5,28,700,402,651604
5,29,228,-58,55348
5,30,158,399,184165
5,31,-846,490,955816
5,32,659,-114,447277
5,33,256,499,314537
5,34,-1169,-1286,3020357
5,35,1308,334,1822420
5,36,-527,19,278090
5,37,-1056,-246,1175652
5,38,241,-684,525937
5,39,235,-779,662066
5,40,635,-412,572969
5,41,453,506,461245
5,42,544,-680,758336
5,43,-396,693,637065
5,44,-398,101,168605
5,45,-85,276,83401
5,46,-397,-1802,3404813
5,47,712,1009,1525025
5,48,1323,-83,1757218
5,49,117,305,106714
5,50,6,-989,978157
5,51,-80,-87,13969
5,52,-80,1403,1974809
5,53,123,5,15154
5,54,-1649,421,2896442
5,55,410,707,667949
5,56,-2624,-3908,22157840
5,57,-1590,1431,4575861
5,58,-1064,873,1894225
5,59,-2728,-1264,9039680
5,60,216,-172,76240
5,61,-2045,604,4546841
5,62,764,955,1495721
5,63,-164,-689,501617
6,0,-2229,-1562,7408285
